link,name,price
https://www.maw2wheelers.com/motorcycle/r15m/,R15 M,599900
https://www.maw2wheelers.com/motorcycle/r15-v3/,R15 V3 BS6,524900
https://www.maw2wheelers.com/product/r15-v4/,R15 V4,574900
https://www.maw2wheelers.com/motorcycle/fazer-25/,FAZER-25,414900
https://www.maw2wheelers.com/motorcycle/fz-25/,FZ-25,474900
https://www.maw2wheelers.com/motorcycle/fz-x/,FZ-X,440900
https://www.maw2wheelers.com/motorcycle/fzs-v3-x-connect/,FZS V3 X-Connect,397900
https://www.maw2wheelers.com/motorcycle/fzs-v2/,FZS V2,359900
https://www.maw2wheelers.com/motorcycle/mt-15-bs6/,MT-15 BS6,494900
https://www.maw2wheelers.com/motorcycle/fz-v2/,FZ V2,329900
https://www.maw2wheelers.com/motorcycle/sz-rr/,SZ-RR,271900
https://www.maw2wheelers.com/motorcycle/saluto/,SALUTO,246900
https://www.maw2wheelers.com/motorcycle/xtz-150-fi/,XTZ 150 FI,569900
